City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bengkulu,ID,2022-10-11 22:12:21,-3.8004,102.2655,73.89,87,99,3.67
67,Jalu,LY,2022-10-11 22:19:57,29.0331,21.5482,74.82,36,100,5.86
68,Bluff,NZ,2022-10-11 22:14:59,-46.6,168.3333,49.71,50,92,2.3
69,Carnarvon,AU,2022-10-11 22:16:19,-24.8667,113.6333,60.94,61,51,26.02
70,Mataura,NZ,2022-10-11 22:16:16,-46.1927,168.8643,51.98,47,79,1.83
71,Khandbari,NP,2022-10-11 22:19:59,27.3747,87.2039,66.07,95,100,2.37
72,Cape Town,ZA,2022-10-11 22:07:14,-33.9258,18.4232,64.09,85,100,8.99
73,Fredericksburg,US,2022-10-11 22:20:00,38.3032,-77.4605,70.92,55,0,4.61
74,Upernavik,GL,2022-10-11 22:14:54,72.7868,-56.1549,19.44,75,100,3.87
75,Ribeira Grande,PT,2022-10-11 22:13:37,38.5167,-28.7,69.78,89,38,1.99
76,Longyearbyen,SJ,2022-10-11 22:20:02,78.2186,15.6401,35.44,69,75,20.71
77,Labuhan,ID,2022-10-11 22:20:04,-6.8844,112.2051,77.29,86,100,8.3
78,Duldurga,RU,2022-10-11 22:20:04,50.6761,113.5931,34.05,82,83,6.67
79,Tucumcari,US,2022-10-11 22:20:05,35.1717,-103.725,81.95,19,0,19.57
80,Arlit,NE,2022-10-11 22:16:23,18.7369,7.3853,88.54,13,3,10.96
81,Kolosovka,RU,2022-10-11 22:20:06,56.4678,73.611,41.95,91,24,6.78
82,Albany,US,2022-10-11 22:11:48,42.6001,-73.9662,62.89,71,2,3.74
83,Lebu,CL,2022-10-11 22:20:06,-37.6167,-73.65,53.2,80,69,4.65
84,Keflavik,IS,2022-10-11 22:20:07,64.0049,-22.5624,44.51,75,40,14.97
85,Eydhafushi,MV,2022-10-11 22:20:08,5.1033,73.0708,80.89,78,100,18.68
86,Saint George,US,2022-10-11 22:19:20,37.1041,-113.5841,86.43,18,0,12.66
87,Fortuna,US,2022-10-11 22:16:22,40.5982,-124.1573,61.72,82,0,12.66
88,Yumen,CN,2022-10-11 22:20:09,40.2833,97.2,44.17,32,100,8.72
89,Asfi,MA,2022-10-11 22:20:09,32.2994,-9.2372,67.6,84,0,5.82
90,Marzuq,YE,2022-10-11 22:20:10,14.4,46.4667,70.03,62,0,3.2
91,Kattivakkam,IN,2022-10-11 22:20:11,13.2167,80.3167,82.49,80,74,6.06
92,Raudeberg,NO,2022-10-11 22:21:11,61.9875,5.1352,45.27,1,100,18.43
93,Moctezuma,MX,2022-10-11 22:21:12,29.8,-109.6667,84.02,27,10,4.32
94,Alice Springs,AU,2022-10-11 22:21:13,-23.7,133.8833,78.35,14,6,18.41
