City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Te Anau,NZ,2022-10-13 02:09:36,-45.4167,167.7167,57.18,44,3,2.62
68,Leningradskiy,RU,2022-10-13 02:10:47,69.3833,178.4167,18.32,75,76,5.95
69,Sao Joao Da Barra,BR,2022-10-13 02:07:35,-21.6403,-41.0511,73.69,86,2,20.13
70,Albany,US,2022-10-13 02:08:30,42.6001,-73.9662,59.72,70,100,3.0
71,Kerouane,GN,2022-10-13 02:10:48,9.2667,-9.0167,68.25,94,86,1.97
72,Rocha,UY,2022-10-13 02:10:48,-34.4833,-54.3333,59.52,62,0,15.95
73,Tazovskiy,RU,2022-10-13 02:10:49,67.4667,78.7,34.99,76,100,3.62
74,Kandrian,PG,2022-10-13 02:10:49,-6.2167,149.55,85.05,65,100,6.31
75,Vacaria,BR,2022-10-13 02:10:04,-28.5122,-50.9339,53.67,93,99,3.85
76,Vila Franca Do Campo,PT,2022-10-13 02:10:50,37.7167,-25.4333,70.21,85,18,4.18
77,Deep River,CA,2022-10-13 02:10:51,46.1001,-77.4995,58.95,76,100,9.73
78,Bull Savanna,JM,2022-10-13 02:10:51,17.8868,-77.5902,77.09,84,93,5.64
79,Hobart,AU,2022-10-13 02:06:18,-42.8794,147.3294,62.46,85,100,16.11
80,Pinawa,CA,2022-10-13 02:10:52,50.1489,-95.8811,38.8,63,100,12.28
81,Tres Picos,MX,2022-10-13 02:10:53,15.8667,-93.5333,79.03,90,99,1.36
82,Barrow,US,2022-10-13 02:10:53,71.2906,-156.7887,28.42,93,100,18.41
83,Mount Gambier,AU,2022-10-13 02:10:53,-37.8333,140.7667,53.51,87,75,10.36
84,Suntar,RU,2022-10-13 02:10:54,62.1444,117.6319,34.92,97,100,8.95
85,Avarua,CK,2022-10-13 02:10:55,-21.2078,-159.775,77.05,83,75,16.11
86,Torbay,CA,2022-10-13 02:10:55,47.6666,-52.7314,51.28,87,35,4.0
87,Nador,MA,2022-10-13 02:10:56,35.174,-2.9287,71.85,88,75,6.91
88,Faya,SA,2022-10-13 02:10:56,18.3851,42.4509,55.92,24,19,4.81
89,Tieling,CN,2022-10-13 02:10:57,42.2931,123.8414,60.48,56,99,17.02
90,Graham,US,2022-10-13 02:11:58,47.0529,-122.2943,62.49,71,0,3.44
91,Sao Filipe,CV,2022-10-13 02:11:58,14.8961,-24.4956,78.89,81,76,3.47
92,Bredasdorp,ZA,2022-10-13 02:11:58,-34.5322,20.0403,62.71,92,100,2.24
93,Montrose,US,2022-10-13 02:11:59,38.4166,-108.2673,49.41,33,0,0.96
94,Puerto Ayacucho,VE,2022-10-13 02:11:59,5.6639,-67.6236,75.6,91,100,4.27
95,Merke,KZ,2022-10-13 02:12:00,42.8728,73.1786,56.46,15,6,5.14
96,Arraial Do Cabo,BR,2022-10-13 02:12:00,-22.9661,-42.0278,69.71,94,56,2.3
97,Touros,BR,2022-10-13 02:09:11,-5.1989,-35.4608,76.95,81,7,14.83
98,Camacha,PT,2022-10-13 02:12:02,33.0833,-16.3333,67.42,73,40,11.5
99,Leon,MX,2022-10-13 02:11:07,21.1167,-101.6667,68.05,53,99,3.49
100,Kieta,PG,2022-10-13 02:12:03,-6.2167,155.6333,84.83,65,100,5.08
101,Tasiilaq,GL,2022-10-13 02:12:03,65.6145,-37.6368,30.36,94,100,4.92
102,Shenjiamen,CN,2022-10-13 02:12:04,29.9576,122.298,69.35,69,74,16.71
103,Tsaratanana,MG,2022-10-13 02:12:04,-16.7833,47.65,62.96,78,1,5.97
104,Tuktoyaktuk,CA,2022-10-13 02:12:05,69.4541,-133.0374,25.92,78,22,4.88
105,Nanfeng,CN,2022-10-13 02:12:05,23.7434,111.7959,75.81,29,0,3.74
106,Cabo San Lucas,MX,2022-10-13 02:08:56,22.8909,-109.9124,82.51,70,0,1.99
107,Sisophon,KH,2022-10-13 02:12:07,13.5859,102.9737,74.57,73,100,10.13
108,Victoria,HK,2022-10-13 02:10:56,22.2855,114.1577,80.65,50,6,8.99
109,Requena,ES,2022-10-13 02:12:08,39.4883,-1.1004,53.53,89,0,1.25
110,Champasak,LA,2022-10-13 02:12:09,14.75,106.0,81.1,60,49,2.46
111,Los Llanos De Aridane,ES,2022-10-13 02:11:42,28.6585,-17.9182,67.75,79,75,13.8
112,Kavieng,PG,2022-10-13 02:12:09,-2.5744,150.7967,83.62,71,100,7.94
113,Ahipara,NZ,2022-10-13 02:12:10,-35.1667,173.1667,63.3,61,75,3.56
114,Lompoc,US,2022-10-13 02:12:11,34.6391,-120.4579,66.34,92,0,9.22
115,Karatau,KZ,2022-10-13 02:12:11,43.1667,70.4667,52.66,19,4,5.37
116,Karratha,AU,2022-10-13 02:12:12,-20.7377,116.8463,78.21,25,49,24.76
117,Kawalu,ID,2022-10-13 02:12:12,-7.3817,108.2082,77.32,84,99,3.94
118,Faanui,PF,2022-10-13 02:12:13,-16.4833,-151.75,78.91,74,46,10.42
119,Oyama,JP,2022-10-13 02:12:14,36.3,139.8,64.58,58,100,7.87
120,Butaritari,KI,2022-10-13 02:12:14,3.0707,172.7902,82.35,74,6,20.47
121,Namibe,AO,2022-10-13 02:12:15,-15.1961,12.1522,68.86,86,100,4.21
122,Gobabis,NA,2022-10-13 02:12:15,-22.45,18.9667,65.01,20,83,7.31
